Key,rule,Message
AZHFJ8MWTlwiQl6exCXu,c:S859,cast from 'volatile struct xgmac_dma_rx_desc_meta *' to 'struct xgmac_dma_rx_desc_meta *' drops volatile qualifier
AZHFJ8MXTlwiQl6exCYZ,c:S924,"Reduce the number of nested ""break"" statements from 2 to 1 authorized."
AZHFJ8MXTlwiQl6exCYa,c:S1905,Remove this redundant cast.
AZHFJ8MXTlwiQl6exCYb,c:S1905,Remove this redundant cast.
AZHFJ8MWTlwiQl6exCXv,c:S859,cast from 'const void *' to 'struct eth_dwc_xgmac_config *' drops const qualifier
AZHFJ8MWTlwiQl6exCXw,c:S859,cast from 'const struct device *' to 'void *' drops const qualifier
AZHFJ8MWTlwiQl6exCXx,c:S859,cast from 'const void *' to 'struct eth_dwc_xgmac_config *' drops const qualifier
AZHFJ8MWTlwiQl6exCXy,c:S859,cast from 'const void *' to 'struct eth_dwc_xgmac_config *' drops const qualifier
AZHFJ8MXTlwiQl6exCYc,c:S1659,Define each identifier in a dedicated statement.
AZHFJ8MWTlwiQl6exCXz,c:S859,cast from 'const void *' to 'struct eth_dwc_xgmac_config *' drops const qualifier
AZHFJ8MWTlwiQl6exCX0,c:S859,cast from 'const struct xgmac_dma_chnl_config *' to 'struct xgmac_dma_chnl_config *' drops const qualifier
AZHFJ8MXTlwiQl6exCYd,c:S1659,Define each identifier in a dedicated statement.
AZHFJ8MWTlwiQl6exCX1,c:S859,cast from 'volatile struct xgmac_dma_tx_desc_meta *' to 'struct xgmac_dma_tx_desc_meta *' drops volatile qualifier
AZHFJ8MXTlwiQl6exCYe,c:S1905,Remove this redundant cast.
AZHFJ8MXTlwiQl6exCYf,c:S1905,Remove this redundant cast.
AZHFJ8MXTlwiQl6exCYg,c:S1905,Remove this redundant cast.
AZHFJ8MXTlwiQl6exCYh,c:S1905,Remove this redundant cast.
AZHFJ8MXTlwiQl6exCYi,c:S1905,Remove this redundant cast.
AZHFJ8MXTlwiQl6exCYj,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""addr"" is ""unsigned char *""."
AZHFJ8MXTlwiQl6exCYk,c:S3776,Refactor this function to reduce its Cognitive Complexity from 28 to the 25 allowed.
AZHFJ8MWTlwiQl6exCX2,c:S859,cast from 'const void *' to 'struct eth_dwc_xgmac_config *' drops const qualifier
AZHFJ8MWTlwiQl6exCX3,c:S859,cast from 'const unsigned char *' to 'unsigned char *' drops const qualifier
AZHFJ8MWTlwiQl6exCX4,c:S859,cast from 'const unsigned char *' to 'unsigned char *' drops const qualifier
AZHFJ8MXTlwiQl6exCYl,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""dev_data"" is ""struct eth_dwc_xgmac_dev_data *""."
AZHFJ8L-TlwiQl6exCXS,c:S3687,"Check if the usage of the type ""volatile unsigned short"" is really appropriate here (for inter-thread synchronization, atomic types are more suited)."
AZHFJ8L-TlwiQl6exCXT,c:S3687,"Check if the usage of the type ""volatile unsigned long"" is really appropriate here (for inter-thread synchronization, atomic types are more suited)."
AZHFJ8L-TlwiQl6exCXU,c:S3687,"Check if the usage of the type ""volatile unsigned short"" is really appropriate here (for inter-thread synchronization, atomic types are more suited)."
AZHFJ8L-TlwiQl6exCXV,c:S3687,"Check if the usage of the type ""volatile unsigned long"" is really appropriate here (for inter-thread synchronization, atomic types are more suited)."
AZHFJ8L-TlwiQl6exCXZ,c:S125,Remove the commented out code.
AZHFJ8L-TlwiQl6exCXW,c:S3687,"Check if the usage of the type ""volatile unsigned int"" is really appropriate here (for inter-thread synchronization, atomic types are more suited)."
AZHFJ8L-TlwiQl6exCXX,c:S3687,"Check if the usage of the type ""volatile unsigned int"" is really appropriate here (for inter-thread synchronization, atomic types are more suited)."
AZHFJ8L-TlwiQl6exCXY,c:S3687,"Check if the usage of the type ""volatile unsigned int"" is really appropriate here (for inter-thread synchronization, atomic types are more suited)."
AZHFJ-VaTlwiQl6exDo6,c:S1905,Remove this redundant cast.
AZHFJ-VaTlwiQl6exDo3,c:S859,cast from 'const void *' to 'struct mdio_dwcxgmac_dev_config *' drops const qualifier
AZHFJ-VaTlwiQl6exDo7,c:S1659,Define each identifier in a dedicated statement.
AZHFJ-VaTlwiQl6exDo8,c:S1905,Remove this redundant cast.
AZHFJ-VaTlwiQl6exDo5,c:S1481,unused variable 'cfg'
AZHFJ-VaTlwiQl6exDo4,c:S859,cast from 'const void *' to 'struct mdio_dwcxgmac_dev_config *' drops const qualifier
AZHFJ-VaTlwiQl6exDo9,c:S1905,Remove this redundant cast.
AZHFJ-MoTlwiQl6exDks,c:S134,Refactor this code to not nest more than 3 if|for|do|while|switch statements.
AZHFJ-MoTlwiQl6exDkt,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""sys"" is ""void *""."
AZHFJ-LaTlwiQl6exDji,c:S3646,Declare this variable in a separate statement.
AZHFJ-LaTlwiQl6exDjh,c:S1135,"Complete the task associated to this ""TODO"" comment."
AZHFJ-LaTlwiQl6exDjj,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""sys"" is ""void *""."
AZHFJ-LgTlwiQl6exDjk,c:S954,Move this #include directive to the top of the file.
AZHFJ-LgTlwiQl6exDjl,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""sys"" is ""void *""."
AZHFJ-LtTlwiQl6exDjo,c:S1135,"Complete the task associated to this ""TODO"" comment."
AZHFJ-LtTlwiQl6exDjq,c:S954,Move this #include directive to the top of the file.
AZHFJ-LtTlwiQl6exDjp,c:S3646,Declare this variable in a separate statement.
AZHFJ-QsTlwiQl6exDm8,c:S3646,Declare this variable in a separate statement.
AZHFJ-QsTlwiQl6exDm9,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""sys"" is ""void *""."
AZHFKEqFTlwiQl6exMw3,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""mgr"" is ""struct onoff_manager *""."
AZHFKEqFTlwiQl6exMw4,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""cli"" is ""struct onoff_client *""."
AZHFKEqFTlwiQl6exMw5,c:S936,"Either add a parameter list or the ""&"" operator to this use of ""sample_notify_cb""."
AZHFJ-G5TlwiQl6exDd1,c:S108,"Fill this compound statement, remove it, or add a nested comment explaining why it is empty."
AZHFJ-G5TlwiQl6exDd2,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""priv"" is ""struct rpi_pico_data *""."
AZHFJ-G5TlwiQl6exDd3,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""cfg"" is ""struct udc_ep_config *const""."
AZHFJ-G5TlwiQl6exDd4,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""cfg"" is ""struct udc_ep_config *const""."
AZHFJ-G6TlwiQl6exDd7,c:S1854,Value stored to 'err' is never read
AZHFJ-G5TlwiQl6exDd5,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""arg"" is ""void *const""."
AZHFJ-G6TlwiQl6exDd6,c:S1172,"Remove the unused parameter ""dev""."
AZHFJ8GsTlwiQl6exCVk,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""argv"" is ""char *""."
AZHFJ8YMTlwiQl6exCff,c:S859,cast from 'const unsigned char *' to 'unsigned char *' drops const qualifier
AZHFKH1CTlwiQl6exQlh,c:S3776,Refactor this function to reduce its Cognitive Complexity from 32 to the 25 allowed.
AZHFKH1CTlwiQl6exQli,c:S134,Refactor this code to not nest more than 3 if|for|do|while|switch statements.
AZHFKH1CTlwiQl6exQlk,c:S824,"Move this function declaration outside of this block scope, or if the intent was to declare a variable, use a syntax that avoids the most vexing parse."
AZHFJ87GTlwiQl6exCy9,c:S954,"Move all #include directives to the very top of the file, before any code."
AZHFJ8-NTlwiQl6exC09,c:S954,"Move all #include directives to the very top of the file, before any code."
AZHFJ9AjTlwiQl6exC2d,c:S954,"Move all #include directives to the very top of the file, before any code."
AZHFJ8_vTlwiQl6exC1x,c:S954,"Move all #include directives to the very top of the file, before any code."
AZHFJ878TlwiQl6exCz4,c:S936,"Either add a parameter list or the ""&"" operator to this use of ""spi_rtio_iodev_default_submit""."
AZHFJ9BITlwiQl6exC2w,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""dt_spec"" is ""struct spi_dt_spec *""."
AZHFJ9BITlwiQl6exC2z,c:S1854,Value stored to 'dev' during its initialization is never read
AZHFJ9BITlwiQl6exC2u,c:S859,cast from 'const unsigned char *' to 'unsigned char *' drops const qualifier
AZHFJ9BITlwiQl6exC2v,c:S859,cast from 'const unsigned char *' to 'unsigned char *' drops const qualifier
AZHFJ9BITlwiQl6exC2x,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""tx_buf_ptr"" is ""struct spi_buf_set *""."
AZHFJ9BITlwiQl6exC2y,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""rx_buf_ptr"" is ""struct spi_buf_set *""."
AZHFKGSETlwiQl6exO-l,c:S1659,Define each identifier in a dedicated statement.
AZHFKGSETlwiQl6exO-m,c:S1659,Define each identifier in a dedicated statement.
AZHFKGSETlwiQl6exO-n,c:S1659,Define each identifier in a dedicated statement.
AZHFKGSETlwiQl6exO-o,c:S1659,Define each identifier in a dedicated statement.
AZHFKGSETlwiQl6exO-p,c:S1659,Define each identifier in a dedicated statement.
AZHFKGSETlwiQl6exO-q,c:S1659,Define each identifier in a dedicated statement.
AZHFKGSETlwiQl6exO-r,c:S1659,Define each identifier in a dedicated statement.
AZHFKGSETlwiQl6exO-s,c:S1659,Define each identifier in a dedicated statement.
AZHFKGSETlwiQl6exO-u,c:S1659,Define each identifier in a dedicated statement.
AZHFKGSETlwiQl6exO-v,c:S1659,Define each identifier in a dedicated statement.
AZHFKGSETlwiQl6exO-w,c:S1659,Define each identifier in a dedicated statement.
AZHFKGSETlwiQl6exO-y,c:S1659,Define each identifier in a dedicated statement.
AZHFKGSETlwiQl6exO-0,c:S1659,Define each identifier in a dedicated statement.
AZHFKGSETlwiQl6exO-1,c:S1659,Define each identifier in a dedicated statement.
AZHFKGSETlwiQl6exO-2,c:S1659,Define each identifier in a dedicated statement.
AZHFKGSETlwiQl6exO-3,c:S1659,Define each identifier in a dedicated statement.
AZHFKGSETlwiQl6exO-5,c:S1659,Define each identifier in a dedicated statement.
AZHFKB86TlwiQl6exHH7,c:S1172,"Remove the unused parameter ""conn""."
AZHFKB86TlwiQl6exHH8,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""conn"" is ""struct bt_conn *""."
AZHFKGWETlwiQl6exPEC,c:S859,cast from 'const char *' to 'unsigned char *' drops const qualifier
AZHFKGXdTlwiQl6exPHG,c:S1172,"Remove the unused parameter ""data""."
AZHFKGXdTlwiQl6exPHH,c:S1172,"Remove the unused parameter ""user_data""."
AZHFKGXdTlwiQl6exPHI,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""data"" is ""struct bt_data *""."
AZHFKGXdTlwiQl6exPHJ,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""user_data"" is ""void *""."
AZHFKGYhTlwiQl6exPHr,c:S954,Move these 4 #include directives to the top of the file.
AZHFKGWETlwiQl6exPEA,c:S859,cast from 'const char *' to 'unsigned char *' drops const qualifier
AZHFKGWETlwiQl6exPEB,c:S859,cast from 'const char *' to 'unsigned char *' drops const qualifier
AZHFKIgzTlwiQl6exRF1,python:S1192,Define a constant instead of duplicating this literal 'samples/drivers/led_strip/README' 4 times.
AZHFKILjTlwiQl6exQ0J,python:S3776,Refactor this function to reduce its Cognitive Complexity from 29 to the 15 allowed.
AZHFJ8YGTlwiQl6exCfe,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""iodev_sqe"" is ""struct rtio_iodev_sqe *""."
AZHFJ8YGTlwiQl6exCfc,c:S859,cast from 'const unsigned char *' to 'unsigned char *' drops const qualifier
AZHFJ8YGTlwiQl6exCfd,c:S859,cast from 'const unsigned char *' to 'unsigned char *' drops const qualifier
AZHFKAZ1TlwiQl6exFUK,cpp:S5421,Global variables should be const.
AZHFKAZ1TlwiQl6exFUL,cpp:S1172,"Remove the unused parameter ""target"", make it unnamed, or declare it ""[[maybe_unused]]""."
AZHFKAZ1TlwiQl6exFUM,cpp:S1172,"Remove the unused parameter ""parent"", make it unnamed, or declare it ""[[maybe_unused]]""."
AZHFKAZ1TlwiQl6exFUN,cpp:S1172,"Remove the unused parameter ""dev"", make it unnamed, or declare it ""[[maybe_unused]]""."
AZHFKAZvTlwiQl6exFTw,cpp:S995,"Make the type of this parameter a pointer-to-const. The current type of ""fixture"" is ""void *""."
AZHFKAZvTlwiQl6exFUJ,cpp:S5008,"Replace this use of ""void *"" with a more meaningful type."
AZHFKAZvTlwiQl6exFTx,cpp:S1116,"Modify the macro definition so that it needs to be followed by a semicolon, or remove this empty statement."
AZHFKAZvTlwiQl6exFTy,cpp:S4962,"Use the ""nullptr"" literal."
AZHFKAZvTlwiQl6exFTz,cpp:S4962,"Use the ""nullptr"" literal."
AZHFKAZvTlwiQl6exFT0,cpp:S5945,"Use ""std::string"" instead of a C-style char array."
AZHFKAZvTlwiQl6exFT1,cpp:S995,"Make the type of this parameter a pointer-to-const. The current type of ""msgs"" is ""struct i2c_msg *""."
AZHFKAZvTlwiQl6exFT2,cpp:S4962,"Use the ""nullptr"" literal."
AZHFKAZvTlwiQl6exFT3,cpp:S5945,"Use ""std::string"" instead of a C-style char array."
AZHFKAZvTlwiQl6exFT4,cpp:S995,"Make the type of this parameter a pointer-to-const. The current type of ""msgs"" is ""struct i2c_msg *""."
AZHFKAZvTlwiQl6exFT5,cpp:S5945,"Use ""std::string"" instead of a C-style char array."
AZHFKAZvTlwiQl6exFT6,cpp:S5945,"Use ""std::string"" instead of a C-style char array."
AZHFKAZvTlwiQl6exFT7,cpp:S5945,"Use ""std::string"" instead of a C-style char array."
AZHFKAZvTlwiQl6exFT8,cpp:S5945,"Use ""std::string"" instead of a C-style char array."
AZHFKAZvTlwiQl6exFT9,cpp:S5945,"Use ""std::string"" instead of a C-style char array."
AZHFKAZvTlwiQl6exFT-,cpp:S5945,"Use ""std::string"" instead of a C-style char array."
AZHFKAZvTlwiQl6exFT_,cpp:S5945,"Use ""std::string"" instead of a C-style char array."
AZHFKAZvTlwiQl6exFUA,cpp:S5945,"Use ""std::string"" instead of a C-style char array."
AZHFKAZvTlwiQl6exFUC,cpp:S5945,"Use ""std::array"" or ""std::vector"" instead of a C-style array."
AZHFKAZvTlwiQl6exFUD,cpp:S5945,"Use ""std::string"" instead of a C-style char array."
AZHFKAZvTlwiQl6exFUE,cpp:S5945,"Use ""std::array"" or ""std::vector"" instead of a C-style array."
AZHFKAZvTlwiQl6exFUF,cpp:S995,"Make the type of this parameter a pointer-to-const. The current type of ""msgs"" is ""struct i2c_msg *""."
AZHFKAZvTlwiQl6exFUG,cpp:S5945,"Use ""std::array"" or ""std::vector"" instead of a C-style array."
AZHFKAZvTlwiQl6exFUH,cpp:S5945,"Use ""std::array"" or ""std::vector"" instead of a C-style array."
AZHFKAZvTlwiQl6exFUB,cpp:S5566,"Change this raw for-loop to a range for-loop or an ""std::ranges::for_each""."
AZHFKAZvTlwiQl6exFUI,cpp:S6022,"Use ""std::byte"" for byte-oriented data manipulation."
AZHFJ889TlwiQl6exC0m,c:S954,Move this #include directive to the top of the file.
AZHFJ889TlwiQl6exC0n,c:S1172,"Remove the unused parameter ""config""."
AZHFJ9mrTlwiQl6exDLP,c:S954,"Move all #include directives to the very top of the file, before any code."
AZHFJ9mrTlwiQl6exDLQ,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""req"" is ""void *""."
AZHFJ9mrTlwiQl6exDLO,c:S859,cast from 'const struct max32_perclk *' to 'void *' drops const qualifier
AZHFKBGGTlwiQl6exF76,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""user_data"" is ""void *""."
AZHFKBGGTlwiQl6exF77,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""data"" is ""struct mbox_msg *""."
AZHFKBGGTlwiQl6exF78,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""data"" is ""struct mbox_msg *""."
AZHFKBGGTlwiQl6exF79,c:S1659,Define each identifier in a dedicated statement.
AZHFKBEZTlwiQl6exF7C,c:S1172,"Remove the unused parameter ""id""."
AZHFKBEZTlwiQl6exF7D,c:S1172,"Remove the unused parameter ""expire_time""."
AZHFJ_iHTlwiQl6exEhn,c:S1172,"Remove the unused parameter ""dev""."
AZHFJ_iHTlwiQl6exEhl,c:S859,cast from 'const struct rtc_time *' to 'struct rtc_time *' drops const qualifier
AZHFJ_iHTlwiQl6exEho,c:S1172,"Remove the unused parameter ""dev""."
AZHFJ_iHTlwiQl6exEhm,c:S859,cast from 'const struct rtc_time *' to 'struct rtc_time *' drops const qualifier
AZHFKIgzTlwiQl6exRF2,python:S1192,Define a constant instead of duplicating this literal 'connectivity/bluetooth/bluetooth-qual' 15 times.
AZHFKIgzTlwiQl6exRF0,python:S1192,Define a constant instead of duplicating this literal 'connectivity/usb/device/usb_device' 4 times.
AZHFKFKATlwiQl6exNNa,c:S3776,Refactor this function to reduce its Cognitive Complexity from 42 to the 25 allowed.
AZHFJ-I9TlwiQl6exDgk,c:S3687,"Check if the usage of the type ""volatile unsigned int[64]"" is really appropriate here (for inter-thread synchronization, atomic types are more suited)."
AZHFJ-I9TlwiQl6exDgl,c:S3687,"Check if the usage of the type ""volatile unsigned int"" is really appropriate here (for inter-thread synchronization, atomic types are more suited)."
AZHFJ-HsTlwiQl6exDeW,c:S1820,"Refactor this structure so it has no more than 20 fields, rather than the 22 it currently has."
AZHFJ-HsTlwiQl6exDev,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""priv"" is ""struct udc_dwc2_data *const""."
AZHFJ-HsTlwiQl6exDew,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""backup"" is ""struct dwc2_reg_backup *""."
AZHFJ-HsTlwiQl6exDex,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""priv"" is ""struct udc_dwc2_data *const""."
AZHFJ-HsTlwiQl6exDey,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""backup"" is ""struct dwc2_reg_backup *""."
AZHFJ-HsTlwiQl6exDez,c:S3776,Refactor this function to reduce its Cognitive Complexity from 35 to the 25 allowed.
AZHFJ-HsTlwiQl6exDe0,c:S1659,Define each identifier in a dedicated statement.
AZHFKBgZTlwiQl6exGVo,c:S1301,"Replace this ""switch"" statement by ""if"" statements to increase readability."
AZHFKBgZTlwiQl6exGVp,c:S1301,"Replace this ""switch"" statement by ""if"" statements to increase readability."
AZHFKGXVTlwiQl6exPGy,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""qos"" is ""struct bt_audio_codec_qos *""."
AZHFKGXVTlwiQl6exPG1,c:S3776,Refactor this function to reduce its Cognitive Complexity from 31 to the 25 allowed.
AZHFKGXVTlwiQl6exPG2,c:S1066,"Merge this ""if"" statement with the enclosing one."
AZHFKGXVTlwiQl6exPG3,c:S1066,"Merge this ""if"" statement with the enclosing one."
AZHFKGBzTlwiQl6exOVG,c:S3776,Refactor this function to reduce its Cognitive Complexity from 134 to the 25 allowed.
AZHFKGfQTlwiQl6exPPQ,c:S3776,Refactor this function to reduce its Cognitive Complexity from 27 to the 25 allowed.
AZHFJ_qfTlwiQl6exEmE,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""data"" is ""struct gpio_stepper_data *""."
AZHFJ_qfTlwiQl6exEmF,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""data"" is ""struct gpio_stepper_data *""."
AZHFJ_qfTlwiQl6exEmG,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""data"" is ""struct gpio_stepper_data *""."
AZHFKBHxTlwiQl6exF92,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""f"" is ""void *""."
AZHFKBHxTlwiQl6exF93,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""fixture"" is ""struct stepper_fixture *""."
AZHFKIL8TlwiQl6exQ0l,python:S3776,Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.
AZHFKFjzTlwiQl6exNtZ,c:S134,Refactor this code to not nest more than 3 if|for|do|while|switch statements.
AZHFKFbYTlwiQl6exNjH,c:S912,Remove any side effects from right hand operands of logical && operator.
AZHFKFbYTlwiQl6exNjN,c:S912,Remove any side effects from right hand operands of logical && operator.
AZHFKFbYTlwiQl6exNjU,c:S912,Remove any side effects from right hand operands of logical && operator.
AZHFKFbYTlwiQl6exNjb,c:S912,Remove any side effects from right hand operands of logical && operator.
AZHFKFbYTlwiQl6exNjc,c:S912,Remove any side effects from right hand operands of logical && operator.
AZHFKFbYTlwiQl6exNjV,c:S912,Remove any side effects from right hand operands of logical || operator.
AZHFKFbYTlwiQl6exNjf,c:S3491,"Remove this useless sequence of pointer operators: ""*&""."
AZHFKFfgTlwiQl6exNoK,c:S3776,Refactor this function to reduce its Cognitive Complexity from 27 to the 25 allowed.
AZHFKFfgTlwiQl6exNoL,c:S3358,Extract this nested conditional operator into an independent statement.
AZHFKFfgTlwiQl6exNoM,c:S3358,Extract this nested conditional operator into an independent statement.
AZHFKFfgTlwiQl6exNoN,c:S3358,Extract this nested conditional operator into an independent statement.
AZHFKFfgTlwiQl6exNoO,c:S3358,Extract this nested conditional operator into an independent statement.
AZHFKFfgTlwiQl6exNoP,c:S3358,Extract this nested conditional operator into an independent statement.
AZHFKFfgTlwiQl6exNoQ,c:S3358,Extract this nested conditional operator into an independent statement.
AZHFKFfgTlwiQl6exNoR,c:S3358,Extract this nested conditional operator into an independent statement.
